Threat Actor,Tool,Type
APT35,curl,Downloader
APT35,curl,Exfiltration
APT35,curl,Non-malicious tool
APT35,curl,OS native tool
APT35,VBScript,Non-malicious tool
APT42,7-Zip,Compression
APT42,7-Zip,Exfiltration
APT42,7-Zip,Non-malicious tool
APT42,netview,OS native tool
APT42,netview,Reconnaissance
APT42,dir,OS native tool
APT42,wget,Downloader
APT42,wget,Non-malicious tool
APT42,wget,OS native tool
APT42,Console Windows Host,OS native tool
APT42,PowerHuntShares,Non-malicious tool
APT42,rmdir,Non-malicious tool
APT42,cd,OS native tool
APT42,ls,OS native tool
MuddyWater,PowerShell,Non-malicious tool
MuddyWater,PowerShell,OS native tool
MuddyWater,AnyDesk,Non-malicious tool
MuddyWater,AnyDesk,Remote command
MuddyWater,revsocks,Tunneling
MuddyWater,Venom Proxy,Tunneling
MuddyWater,MuddyC2Go,Control panel
MuddyWater,SimpleHelp,Non-malicious tool
MuddyWater,Cmd,Non-malicious tool
MuddyWater,Cmd,OS native tool
MuddyWater,Schtasks.exe,OS native tool
MuddyWater,Schtasks.exe,Remote command
MuddyWater,WMIExec,Backdoor
MuddyWater,WMIExec,Remote command
MuddyWater,Invoke-WebRequest,Non-malicious tool
MuddyWater,Invoke-WebRequest,OS native tool
MuddyWater,JumpCloud Remote Access,Non-malicious tool
APT34,Cmd,Non-malicious tool
APT34,Cmd,OS native tool
APT34,SampleCheck5000,Downloader
APT34,OilCheck,Downloader
APT34,ODAgent,Downloader
APT34,OilBooster,Downloader
APT34,gzip,Non-malicious tool
APT34,OpenSSL,Non-malicious tool
MuddyWater,Tactical RMM,Non-malicious tool
MuddyWater,DarkBeatC2,Control panel
APT35,Hyperscrape,Exfiltration
APT35,Hyperscrape,Info stealer
APT35,Drokbk,Backdoor
APT35,Drokbk,Dropper
APT35,BellaCiao,Dropper
APT35,Sponsor,Backdoor
APT35,DownPaper,Backdoor
APT35,DownPaper,Downloader
APT35,certutil,Downloader
APT35,certutil,Non-malicious tool
APT35,certutil,OS native tool
APT35,Shamoon,ICS malware
APT35,Shamoon,Wiper
APT35,Shamoon,Worm
APT35,sqlmap,Vulnerability scanner
APT35,Chisel,Tunneling
APT35,WindowsProcesses.exe,Loader
APT35,Chromium F,Credential stealer
APT35,Chromium F,Exfiltration
APT35,Chromium F,Info stealer
APT35,Sou.exe - Audio Recorder,Info stealer
APT35,Net,Info stealer
APT35,Net,Non-malicious tool
APT35,Net,OS native tool
APT35,Net,Reconnaissance
APT35,Systeminfo,Non-malicious tool
APT35,Systeminfo,OS native tool
APT35,Systeminfo,Reconnaissance
APT35,Havij,Exfiltration
