Threat Actor,Tool,Type
Parisite,JavaScript,Info stealer
Parisite,JavaScript,Loader
Parisite,JavaScript,Non-malicious tool
Parisite,JavaScript,Reconnaissance
Parisite,format.com,OS native tool
Parisite,wab.exe,OS native tool
Parisite,Discord,Non-malicious tool
Parisite,BlueVPS,Non-malicious tool
Parisite,Microsoft SharePoint,Non-malicious tool
Parisite,ping,Non-malicious tool
Parisite,ping,OS native tool
Parisite,copy,OS native tool
MuddyWater,Csc.exe,Non-malicious tool
MuddyWater,Csc.exe,OS native tool
Parisite,Mimic Ransomware,Ransomware
Parisite,Pay2Key Ransomware,Ransomware
Parisite,7-Zip,Compression
Parisite,7-Zip,Exfiltration
Parisite,7-Zip,Non-malicious tool
Parisite,Themida,Compression
Parisite,Themida,Non-malicious tool
Parisite,UPX - Ultimate Packer for eXecutables,Loader
Parisite,UPX - Ultimate Packer for eXecutables,Non-malicious tool
Parisite,Voidtools Everything,Non-malicious tool
Parisite,no-defender,Defense evasion
Parisite,Del,Non-malicious tool
Parisite,Del,OS native tool
Parisite,Invoke-Expression,Non-malicious tool
Parisite,Invoke-Expression,OS native tool
Parisite,Reg,Non-malicious tool
Parisite,Reg,OS native tool
Parisite,exit,OS native tool
Parisite,move,OS native tool
Parisite,popd,OS native tool
Parisite,pushd,OS native tool
Parisite,set,Non-malicious tool
Parisite,set,OS native tool
Parisite,start,OS native tool
Parisite,timeout,OS native tool
Parisite,Invoke-WebRequest,Non-malicious tool
Parisite,Invoke-WebRequest,OS native tool
Parisite,curl,Downloader
Parisite,curl,Exfiltration
Parisite,curl,Non-malicious tool
Parisite,curl,OS native tool
Parisite,wscript,Non-malicious tool
Parisite,wscript,OS native tool
MuddyWater,NetBird,Non-malicious tool
MuddyWater,VBScript,Non-malicious tool
MuddyWater,Firebase,Non-malicious tool
MuddyWater,Windows Service Configuration Tool,Non-malicious tool
MuddyWater,Windows Service Configuration Tool,OS native tool
MuddyWater,Windows Service Configuration Tool,Reconnaissance
MuddyWater,start,OS native tool
MuddyWater,JavaScript,Backdoor
MuddyWater,JavaScript,Credential stealer
MuddyWater,JavaScript,Downloader
MuddyWater,JavaScript,Dropper
MuddyWater,JavaScript,Exfiltration
MuddyWater,JavaScript,Info stealer
MuddyWater,JavaScript,Loader
MuddyWater,JavaScript,Non-malicious tool
MuddyWater,JavaScript,Reconnaissance
MuddyWater,Gophish,Phishing
MuddyWater,wscript,Non-malicious tool
MuddyWater,wscript,OS native tool
MuddyWater,Living off the Land,
Cyber Av3ngers,Telegram,Non-malicious tool
Cyber Av3ngers,UPX - Ultimate Packer for eXecutables,Loader
Cyber Av3ngers,UPX - Ultimate Packer for eXecutables,Non-malicious tool
Cyber Av3ngers,IOCONTROL,Backdoor
Cyber Av3ngers,hostname.exe,Non-malicious tool
Cyber Av3ngers,hostname.exe,OS native tool
Cyber Av3ngers,uname,OS native tool
Cyber Av3ngers,whoami,Non-malicious tool
Cyber Av3ngers,whoami,OS native tool
Cyber Av3ngers,whoami,Reconnaissance
Cyber Av3ngers,date,OS native tool
Cyber Av3ngers,Bash,Non-malicious tool
Cyber Av3ngers,Bash,OS native tool
Cyber Av3ngers,echo,OS native tool
Cyber Av3ngers,exit,OS native tool
Cyber Av3ngers,cat,Non-malicious tool
Cyber Av3ngers,cat,OS native tool
Cyber Av3ngers,kill,OS native tool
Cyber Av3ngers,rm,OS native tool
Cyber Av3ngers,sleep,OS native tool
Cyber Av3ngers,curl,Downloader
Cyber Av3ngers,curl,Exfiltration
Cyber Av3ngers,curl,Non-malicious tool
Cyber Av3ngers,curl,OS native tool
Homeland Justice,VBScript,Non-malicious tool
Homeland Justice,NordVPN,Non-malicious tool
Homeland Justice,Phoenix Backdoor,Backdoor
MuddyWater,Fooder,Loader
MuddyWater,Phoenix Backdoor,Backdoor
MuddyWater,StealthCache,Backdoor
MuddyWater,LiteInject,Poisoning
MuddyWater,PyInstaller,Non-malicious tool
APT34,QUADAGENT,Backdoor
APT34,ThreeDollars,Dropper
APT34,Milan,Backdoor
APT34,Invoke-Obfuscation,
APT34,LaZagne,Credential stealer
APT34,PuTTY,Non-malicious tool
APT34,PuTTY,Tunneling
APT34,LONGWATCH,Keylogger
APT34,KEYPUNCH,Keylogger
Tortoiseshell,LinkedIn,Non-malicious tool
Tortoiseshell,Systeminfo,Non-malicious tool
Tortoiseshell,Systeminfo,OS native tool
Tortoiseshell,Systeminfo,Reconnaissance
Tortoiseshell,findstr,Non-malicious tool
Tortoiseshell,rar.exe,Compression
Tortoiseshell,rar.exe,Non-malicious tool
Tortoiseshell,MiniJunk Backdoor,Backdoor
Tortoiseshell,MiniBrowse,Info stealer
UNK_SmudgedSerpent,PDQ Connect,Non-malicious tool
UNK_SmudgedSerpent,MiniJunk Backdoor,Backdoor
UNK_SmudgedSerpent,ISL Online,Non-malicious tool
UNK_SmudgedSerpent,OnlyOffice,Non-malicious tool
MuddyWater,UDPGangster,Backdoor
Infy,Foudre,Downloader
Infy,Foudre,Info stealer
Infy,Foudre,Keylogger
Infy,Tonnerre,Backdoor
Infy,Tonnerre,Exfiltration
Infy,Tonnerre,Info stealer
Infy,Amaq Finder,Loader
Infy,Deep Freeze,Loader
Infy,MaxPinner,Exfiltration
Infy,MaxPinner,Info stealer
Infy,MaxPinner,Spyware
Infy,Telegram,Non-malicious tool
Infy,Rundll32,OS native tool
Infy,Taskkill,Non-malicious tool
Infy,Taskkill,OS native tool
Infy,Rugissement,Loader
APT42,Scalingo,Non-malicious tool
APT42,Tebi,Non-malicious tool
APT42,somee.com,Non-malicious tool
APT42,Rundll32,OS native tool
APT42,ren,OS native tool
APT42,Invoke-RestMethod,Non-malicious tool
APT42,Microsoft Edge,Non-malicious tool
APT42,Cloudflare Workers,Non-malicious tool
APT42,Whatsapp,Non-malicious tool
APT42,Discord,Non-malicious tool
APT42,Telegram,Non-malicious tool
APT42,WebDAV,Non-malicious tool
APT42,Microsoft OneDrive,Non-malicious tool
APT42,PsSuspend,Non-malicious tool
APT42,WinRAR,Compression
APT42,WinRAR,Non-malicious tool
APT42,Set-ItemProperty,Non-malicious tool
APT42,copy-item,OS native tool
APT42,Firebase,Non-malicious tool
MuddyWater,RUSTRIC,Backdoor
MuddyWater,explorer,OS native tool
Tortoiseshell,CrashPad,
Tortoiseshell,DCSyncer.Slick,Credential stealer
Tortoiseshell,DeepRoot,Backdoor
Tortoiseshell,GhostLine,Tunneling
Tortoiseshell,PollBlend,Tunneling
Tortoiseshell,SightGrab,Info stealer
Tortoiseshell,ssh,Non-malicious tool
Tortoiseshell,ssh,OS native tool
Tortoiseshell,HashiCorp Yamux,Non-malicious tool
Tortoiseshell,AWRC,Non-malicious tool
Tortoiseshell,Active Directory Explorer,Non-malicious tool
Tortoiseshell,Active Directory Explorer,Reconnaissance
Tortoiseshell,Invoke-Kerberoast,Non-malicious tool
Tortoiseshell,Net,Info stealer
Tortoiseshell,Net,Non-malicious tool
Tortoiseshell,Net,OS native tool
Tortoiseshell,Net,Reconnaissance
Tortoiseshell,SCCMVNC,Non-malicious tool
Tortoiseshell,TrustTrap,Credential stealer
Tortoiseshell,Ngrok,Backdoor
Tortoiseshell,Ngrok,Non-malicious tool
Tortoiseshell,Ngrok,Tunneling
Tortoiseshell,ZeroTier,Non-malicious tool
Tortoiseshell,quser.exe,Non-malicious tool
Tortoiseshell,quser.exe,OS native tool
RedKitten,SloppyMIO,Backdoor
RedKitten,Cmd,Non-malicious tool
RedKitten,Cmd,OS native tool
RedKitten,GitHub,Non-malicious tool
RedKitten,Google Drive,Non-malicious tool
RedKitten,Tasklist,Non-malicious tool
RedKitten,Tasklist,OS native tool
RedKitten,Tasklist,Reconnaissance
RedKitten,Telegram,Non-malicious tool
RedKitten,WMIC,OS native tool
RedKitten,dir,OS native tool
RedKitten,ipconfig,OS native tool
RedKitten,ipconfig,Reconnaissance
RedKitten,whoami,Non-malicious tool
RedKitten,whoami,OS native tool
RedKitten,whoami,Reconnaissance
Infy,Metasploit,Backdoor
Infy,Metasploit,Control panel
Infy,Metasploit,Credential stealer
Infy,Metasploit,Dropper
Infy,Metasploit,Info stealer
Infy,Metasploit,Keylogger
Infy,Metasploit,Loader
Infy,Metasploit,Reconnaissance
Infy,Metasploit,Remote command
Infy,Metasploit,Vulnerability scanner
Infy,PowerShell,Non-malicious tool
Infy,PowerShell,OS native tool
Infy,Remcos RAT,Backdoor
Infy,Remcos RAT,Exfiltration
Infy,Remcos RAT,Info stealer
Infy,Remcos RAT,Remote command
Infy,Schtasks.exe,OS native tool
Infy,Schtasks.exe,Remote command
Infy,Stealerium,Info stealer
Infy,Stealerium,Keylogger
Infy,StormKitty,Info stealer
Infy,VBScript,Non-malicious tool
Infy,ZZ Stealer,Info stealer
Infy,ConfuserEx,Compression
Infy,ConfuserEx,Non-malicious tool
Infy,UPX - Ultimate Packer for eXecutables,Loader
Infy,UPX - Ultimate Packer for eXecutables,Non-malicious tool
MuddyWater,Dropbox,Non-malicious tool
MuddyWater,Microsoft OneDrive,Non-malicious tool
MuddyWater,Splashtop,Non-malicious tool
MuddyWater,TeamViewer,Non-malicious tool
MuddyWater,hostname.exe,Non-malicious tool
MuddyWater,hostname.exe,OS native tool
MuddyWater,nslookup,Non-malicious tool
MuddyWater,nslookup,OS native tool
MuddyWater,N‑able,Non-malicious tool
MuddyWater,WinWord.exe,Non-malicious tool
MuddyWater,Telegram,Non-malicious tool
MuddyWater,CHAR Backdoor,Backdoor
MuddyWater,GhostBackDoor,Backdoor
MuddyWater,GhostFetch,Downloader
MuddyWater,HTTP_VIP,Backdoor
MuddyWater,HTTP_VIP,Downloader
MuddyWater,resocks,Non-malicious tool
MuddyWater,cd,OS native tool
MuddyWater,curl,Downloader
MuddyWater,curl,Exfiltration
MuddyWater,curl,Non-malicious tool
MuddyWater,curl,OS native tool
MuddyWater,exit,OS native tool
MuddyWater,ls,OS native tool
MuddyWater,Uncomplicated Firewall,Non-malicious tool
MuddyWater,apt,OS native tool
MuddyWater,chown,OS native tool
MuddyWater,grep,Non-malicious tool
MuddyWater,grep,OS native tool
MuddyWater,mkdir,Non-malicious tool
MuddyWater,nano,OS native tool
MuddyWater,rm,OS native tool
MuddyWater,ss (utility),OS native tool
MuddyWater,sudo,OS native tool
MuddyWater,sudo,Privilege escalation
MuddyWater,systemctl,OS native tool
MuddyWater,tmux,Non-malicious tool
MuddyWater,Taskkill,Non-malicious tool
MuddyWater,Taskkill,OS native tool
MuddyWater,dir,OS native tool
MuddyWater,ping,Non-malicious tool
MuddyWater,ping,OS native tool
MuddyWater,Start-Process,OS native tool
MuddyWater,Sh.exe Web Shell,Obfuscation
MuddyWater,Sh.exe Web Shell,Web Shell
MuddyWater,ReverseSocks5,Non-malicious tool
MuddyWater,Flask,Non-malicious tool
Dust Specter,GhostForm,Remote Access Trojan (RAT)
Dust Specter,SplitDrop,Dropper
Dust Specter,TwinTalk,Backdoor
Dust Specter,TwinTask,Backdoor
Dust Specter,PowerShell,Non-malicious tool
Dust Specter,PowerShell,OS native tool
Dust Specter,New-ItemProperty,OS native tool
Dust Specter,exit,OS native tool
MuddyWater,HackBrowserData,Info stealer
MuddyWater,HashiCorp Yamux,Non-malicious tool
MuddyWater,PDQ Connect,Non-malicious tool
MuddyWater,go-socks5,Non-malicious tool
MuddyWater,Level Remote Monitoring and Management Tool,Non-malicious tool
MuddyWater,CE-Notes,Credential stealer
MuddyWater,CE-Notes,Exfiltration
MuddyWater,CE-Notes,Info stealer
MuddyWater,CE-Notes,Obfuscation
MuddyWater,MuddyViper Backdoor,Backdoor
MuddyWater,MuddyViper Backdoor,Credential stealer
MuddyWater,MuddyViper Backdoor,Info stealer
MuddyWater,MuddyViper Backdoor,Reconnaissance
MuddyWater,Blub,Credential stealer
MuddyWater,Blub,Info stealer
MuddyWater,LP-Notes,Credential stealer
MuddyWater,LP-Notes,Exfiltration
MuddyWater,LP-Notes,Info stealer
MuddyWater,LP-Notes,Obfuscation
MuddyWater,VAX-One Backdoor,Backdoor
MuddyWater,VAX-One Backdoor,Remote command
